Latin name, Botanical family and Growth habit	Vernacular name(s)	Part(s) used, Use(s) and Reference(s)
Lycopodiaceae, Herb		
Lysichiton americanus Hultén & H. St. John	yellow skunk cabbage (Eng.); lysichiton d'Amérique (Fr.)	Used as a general medicine [Malecite: 59, Mi'kmaq: 62]. Small piece steeped in a cupful of water and taken in diabetes [Mi'kmaq: 62]. 
Syn.: L. camtschatcensis auct. non (L.) Schott		
Araceae, Herb		
Maianthemum canadense Desf.	wild lily-of-the-valley, squirrel berry (Eng.); maïanthème du Canada, petit muguet (Fr.); sōsōwīpukōsak, sōskōpukwagōh (Cree); agongosî'mînûn (Ojibwa)	Used to "keep the kidneys open" during pregnancy, to cure sore throat and headache [Ojibwa: 87]. Tea drunk for headache [Algonquians: 63]. 
Liliaceae, Herb		Leaves: Cleaned and applied directly on a cut as a bandage or a cooled decoction is used to soak a cut. Poultice used to treat swellings of the limbs [Cree: 13].
Maianthemum racemosum (L.) Link ssp. racemosum	false spikenard, false Solomon's seal (Eng.); smilacine à grappes (Fr.); amwiminigak' (Maletice); onkôk'akak, onkôk'skak (Abenaki); kinē'wigwŏshk, agongo'simînûn', cigona'gan (Ojibwa) 	Used in bleeding from the mouth [Abenaki: 67].Tea for sore back [Algonquin: 69]. 
Syn.: Smilacina racemosa (L.) Desf.; Vagnera racemosa (L.) Morong		Roots: Powdered, placed on a hot stone and fomentation applied to painful body parts or fume inhaled to cure headache or catarrh [Chippewa: 85; Ojibwa: 66, 84]. Decoction taken to treat back pain and other diseases in women [Ojibwa: 47]. Mixed with Apocynum androsaemifolium and used to "keep the kidneys open during pregnancy", to cure sore throat and headache [Ojibwa: 87]. 
Liliaceae, Herb		Leaves: Warm decoction used as a bath to ease rash or itch [Maletice: 65; Ojibwa: 84]. Crushed and applied to cuts to stop bleeding [Ojibwa: 84]. 
Maianthemum stellatum (L.) Link	star-flowered solomon's seal (Eng.); smilacine étoilée (Fr.); anungokauh (Ojibwa)	Plants used as a stimulant and system cleanser [Ojibwa: 19]. 
Syn.: Smilacina stellata (L.) Desf.		
Liliaceae, Herb		
Malaxis unifolia Michx.	green Adder's mouth (Eng.); malaxis unifolié (Fr.); aîa'nîkotci'mîn (Ojibwa)	Roots: Used with Diervilla lonicera as a diuretic [Ojibwa: 87]. 
Syn.: Microstylis unifolia (Michx.) BSP		
Orchidaceae, Herb		
*Matricaria discoidea DC.Syn.: Matricaria matricarioides auct. non (Less.) Porter	pineapple weed, chamomile (Eng.); matricaire odorante, herbe à crapaud (Fr.)	Used for kidney problems [Cree: 93]. Tea drunk to treat insomnia or to calm the nerves, can be sweetened with honey and given in a bottle to calm a fretting baby [Metis: 13]. Tea drunk as a relaxant, also given to new mothers to induce milk flow [Dene: 100].
Asteraceae, Herb		Flowers: Used to treat eye infections by squeezing the fresh juice directly into the eye [Cree: 13]. 
Matteuccia struthiopteris (L.) Todaro.	fiddlehead fern, ostrich fern (Eng.); matteucie fougère-à-l'autruche (Fr.); kākākīwīkot (Cree)	Fronds: Base of the frond boiled with other herbs to make a decoction drunk to slow a pounding heart, also used to treat stomach pain [Dene: 13]. Decoction made with the base of the stipe of the sterile frond used for back pain and to speed expulsion ot the afterbirth [Cree: 95]. 
Dryopteridaceae, Herb		Rhizomes: Stipe buds on rhizome used to treat cancer and to help gain weight [Metis: 13]. 
*Medicago sativa L.	alfalfa, lucerne (Eng.); luzerne, lentine (Fr.)	Above-ground parts: Steeped to make a drink for arthritis or ulcers [Cree: 13]. Tea used in stomach problems, arthritis, and muscular pain [Cree: 96].
Fabaceae, Herb		
Melampyrum lineare Desr.	narrow-leaved cow-wheat (Eng.); mélampyre linéaire (Fr.); agongasi'mînûk (Ojibwa)	Whole plant: Tea taken as an eye medicine [Ojibwa: 87]. 
Scrophulariaceae, Herb		
*Melilotus officinalis (L.) Lam.	yellow sweet-clover (Eng.); mélilot jaune, mélilot officinal, trèfle d'odeur jaune (Fr.)	Whole plant: Boiled with barley seeds to make a decoction drunk as a general tonic [Cree: 13]. Tea used as a tonic and blood cleanser [Cree: 96].
Syn.: M. albus Medik.		
Fabaceae, Herb		
Menispermum canadense L.	Canada moonseed (Eng.); ménisperme du Canada (Fr.); bîma'kwît wa'bîgons (Ojibwa)	Rhizomes: Used for scrofula [44]. 
Menispermaceae, Vine		
*Mentha aquatica L.	peppermint (Eng.); menthe poivrée (Fr.)	Used for sore throat and for kidney troubles in combination with beaver castor [Algonquin: 75].
Syn.: M. piperita L.		Leaves: Steeped and used for headache [Algonquians: 63]. 
Lamiaceae, Herb		
Mentha arvensis L.	wild mint (Eng.); mente sauvage, baume (Fr.); amisko wehkuskwa, amiskōwīkask, āmskuwiy(h)kusk, wīkask, wīkaskwah, wakaskwah (Cree); pse'skil (Melatice); name'wûckons (Ojibwa); kaakawakamicik (Atikamekw); kâuîpâpinamânapukâshiti nîpîsha (Montagnais); tsátlh'oghtsëné (Chipewyan) 	Used as a carminative [Chippewa: 85] or to treat stomachache [Cree: 42, Ojibwa: 86]. Steeped and given at frequent intervals to make a child quieter [Malecite: 65]. Tea drunk to favor sleep [Cree, Metis: 13 ], as wash for sores, as a part of compound medicines for treating cancer or diabetes [Metis: 13], to treat cough or cold [Cree, Dene: 13; Dene: 17], fever [Atikamekw: 73; Montagnais: 71; Cree: 13], congestion, chills, menstrual cramps, to soothe teething babies' gums or as a tonic, to treat weariness or fatigue, to treat children diarrhoea, or pain [Cree: 13]. Smelled or boiled and the steam inhaled to clear the nasal passages in cold [Cree: 13]. Tea used to prevent the onset of cold or to cure prolonged cold and coughing up blood [Cree: 95]. 
Syn.: M. canadensis L.		Whole plant: Tea taken as a blood remedy and against fever [Ojibwa: 87]. Tea used to treat stomach disorders and fever [Cree: 96]. 
Lamiaceae, Herb		Above-ground parts: Tea used to treat arthritis, muscular pain, sore throats, cough and cold. Steam inhaled for sore throat, cough and cold. Tea used as "women's medicine" [Cree: 96]. Tea used to treat cough [Chipewyan: 92]. Herbal water used for fever and high blood pressure [Cree: 93].
		Flowers: Ground with yarrow flowers, placed in a cloth, moistened and rubbed on infected gums to remove pus. Crushed with flowers of Achillea millefolium var. occidentalis, wrapped in a cloth and dipped in water to clean pus from the gums of a teething child [Cree: 95]. 
		Leaves or leafy stem: Ground and applied to the gums to relieve toothache [Cree: 95].
		Leafy stem and flowers: Inserted into the nostril to stop nosebleed [Cree: 95].
*Mentha spicata L.	spearmint (Eng.); menthe à épis, baume (Fr.); wekemakowemina (Cree)	Leaves: Infusion given in colic [Cree: 74].
Syn.: M. viridis L.		
Lamiaceae, Herb		
Menyanthes trifoliata L.	buckbean (Eng.); ményanthe trifolié, herbe à canards (Fr.)	Roots: Very strong decoction drunk as a medicine [Algonquians: 63]. 
Menyanthaceae, Herb		
Mertensia paniculata (Aiton) G. Don	lungwort, tall bluebells (Eng.); mertensie paniculée (Fr.); ogu-malask (Cree)	Part of a compound medicine used to treat heart trouble [Metis: 13]. 
Boraginaceae, Herb		
Mirabilis nyctaginea (Michx.) MacMill.	heart-leaved four-o'clock, heart-leaved umbrellawort (Eng.); nyctage parasol (Fr.); goko'coadji'bîk, be'dukadak'igisĭn (Ojibwa)	Roots: Poultice made with a decoction of dried roots or with fresh roots used in sprain or strained muscles [Ojibwa: 47].Used to reduce sprains and swellings [Ojibwa: 87]. 
Syn.: Oxybaphus nyctagineus (Michx.) Sweet; Allionia nyctaginea Michx.		
Nyctaginaceae, Herb		
Mitchella repens L.	two-eyed Berry, creeper partridge-berry (Eng.); mitchella rampant, pain de perdrix (Fr.); papatigwibagassiwil (Abenaki)	Fruits: Used to treat swellings [Abenaki: 67]. Cooked into a jelly and used for fever [Algonquians: 63]. 
Rubiaceae, Herb		
Mitella nuda L.	bishop's cap, naked mitrewort (Eng.); mitrelle nue (Fr.); amiskōcawakayipak, ōcawakāyipak (Cree)	Leaves: Crushed and wrapped in cloth and inserted in the ear to treat earache [Cree: 95]. 
Saxifragaceae, Herb		
Monarda fistulosa L.	wild bergamot, horse mint (Eng.); monarde fistuleuse, menthe de cheval (Fr.); mostoswīkask, kapiskotānāskīhk (Cree); moshkōs'wanowins', weca'wûs wackwî'nek, bibi'gwûnûkûk', wabino'wuck (Ojibwa)	Tops dried and used as a sternutatory for cold relief, or boiled with Eupatorium perfoliatum to make a fomentation to be applied for rheumatism [Chippewa: 85].
Lamiaceae, Herb		Whole plant: Dried, boiled to obtain the volatile oil and inhaled to cure catarrh and bronchial affections [Ojibwa: 87]. Boiled and the decoction drunk by women after childbirth. Mixed with other plants to make a drink for treating menstrual cramps, stomachache, headache and fever [Cree: 13]. Tea used to treat fever, headache, and also used as "women's medicine" [Cree: 96].
		Above-ground parts: Tea used to treat stomach disorders [Cree: 96]. 
		Roots: Decoction used to ease stomach and intestinal pain [Ojibwa: 84]. 
		Roots and flowers: Decoction used against intestinal worms [Ojibwa: 47].
		Flowers and leaves: Steeped and used in skin eruptions and burns [Ojibwa: 47].
		Leaves: Chewed and placed in the nostrils to relieve headache [Chippewa: 85]. 

Monarda punctata L.	spotted beebalm (Eng.); monarde ponctuée (Fr.); ka-bi-sani-gwe-iag (Ojibwa)	Used as rubbing and smelling medicine, and as a remedy for stomach trouble [Ojibwa: 86]. 
Lamiaceae, Herb		
Moneses uniflora (L.) A. Gray	single delight, one-flowered wintergreen (Eng.); monésès uniflore (Fr.)	Steeped to make a medicine for paralysis [Algonquians: 63].
Pyrolaceae, Herb		
Monotropa uniflora L.	Indian pipe (Eng.); monotrope uniflore (Fr.); mīpitahmaskīhkīh (Cree)	Juice mixed with water and applied to sore eyes [44]. 
Monotropaceae, Herb		Flower: Chewed to relieve toothache [Cree: 95].
Morella pensylvanica (Mirb.) Kartesz	northern bayberry (Eng.); myrique de Pennsylvanie (Fr.)	Roots: Powdered, steeped in water, and applied for arthritis and rheumatism, or to treat kidney problems [Mi'kmaq: 62]. 
Myricaceae, Tree		Leaves: Steeped in water and the liquid used as a mouth wash for sore mouth [Mi'kmaq: 62]. 
Myrica gale L.	sweet gale (Eng.); myrique baumier (Fr.); tehgoo (Dene)	Used for sore eyes. Boiled and tea applied to skin rash and sores, or drunk to cure mouth infections and sore throat [Dene: 101]. 
Myricaceae, Shrub		Stem: Boiled with leaves and fruits and taken to treat tuberculosis [Dene: 98]. 
Myriosclerotinia caricis-ampullaceae (Nyberg) Buch.	mwākōkot (Cree)	Sclerotium: Powdered and taken in water to facilitate labor during childbirth, also used in menstrual irregularity [Cree: 95].
Syn.: Sclerotinia caricis-ampullaceae Nyberg		
Sclerotiniaceae, Fungi		
*Nepeta cataria L.	Catnip (Eng.); népéta cataire, herbe à chats (Fr.); gajugĕns'ibûg, tci'name'wûck (Ojibwa)	Leaves: Alone or in combination with Pycnanthemum virginianum in a decoction given in fever. Steeped with an equal amount of Tanacetum vulgare and given in fever [Ojibwa: 47]. Tea as a blood purifier [Ojibwa: 87].
Lamiaceae, Herb		
*Nicotiana tabacum L.	tobacco (Eng.); tabac (Fr.)	Leaves: Topical coagulant [Mi'kmaq: 61]. Used for tootache [Cree: 81]. Smoke blown into the ear to cure earache [Algonquians: 63, Mi'kmaq: 60, Cree: 81] or into the nostrils for faints [Cree: 81]. 
Solanaceae, Shrub		
Nuphar lutea (L.) Sm	variegated pond-lily, cow lily, yellow pond lily (Eng.); nénuphar à fleurs panachées, grand nénuphar jaune, pied-de-cheval (Fr.); pwakumosikum, oskotamo, waskātamow, wāskātamo, waskutamo, ōskītīpak, waskītīpak (Cree); uckicteabu (Atikamekw); egh'ke (Dene); teghaizé (Chipewyan)	Rhizomes: Powdered, used in a compound remedy to treat various ailments [Cree: 95]. Cut into thin slices, dried and chewed or made into a tea drunk to treat arthritis or used to bathe affected joints [Dene: 13; Chipewyan: 92] or to treat swellings [Cree: 13]. Sliced, grated and used as a poultice on boils [Cree, Dene: 13; Chipewyan: 92], diabetic skin ulcers [Metis: 13], infected wounds [Cree, Dene, Metis: 13], or mixed with other plants and used as a poultice to treat sore back or legs, foot pain [Cree: 13], sore joints, arthritis, or headache [Metis: 13]. Used in compound decoctions as a cough medicine, to facilitate childbirth [Dene: 13], to help recovery after childbirth [Cree: 13], or as a heart medicine [Cree, Dene: 13]. Poultice used in swellings and infections [Algonquin: 69]. Ground with Acorus calamus and Heracleum lanatum, moistened with water or grease and used as a poultice in headache, sore joints, swellings, and painful limbs. Fresh or rehydrated dried slices applied to infected skin [Cree: 95]. Soaked or boiled in water and used as a wash to treat swellings, infections and bee stings [Dene: 17]. Poultice used to treat facial paralysis, skin disorders, bee stings, cuts, burns, arthritis, and muscular pain. Tea used in heart problems and as a "women's medicine" [Cree: 96]. Boiled with stems of Sorbus scopulina and leaves of Sarracenia purpurea to make a cough remedy [Chipewyan: 92]. 
Syn.: N.variegata Durand		Roots: Steeped or worn around the neck as a general medicine [Mi'kmaq: 62]. Used to treat cold and sore back [Dene: 100].
Nymphaeaceae, Herb		Whole plant: Used in diabetes [Cree: 77]. 
		Stems: Leafy stems sucked to prevent thirst [Atikamekw: 73]. Tea drunk to cure stomach pain, shortness of breath, heart problems, and urinary tract problems [Dene: 101].
Nuphar lutea (L.) Sm. ssp. advena (Aiton) Kartesz & Gandhi	cow lily (Eng.); nénuphar à feuilles émergentes (Fr.)	Pounded into a pulp used in a poultice to heal swollen limbs [Mi'kmaq: 62]. 
Syn.: N. advena (Aiton) W.T. Aiton		Leaves: Mashed and used in swellings [Mi'kmaq: 60; Algonquians: 63]. 
Nymphaeaceae, Herb		Roots: Bruised and used in swellings and bruises [Algonquians: 63]. 
		Rhizomes: Used as an astringent [Chippewa: 47]. 
Nuphar lutea (L.) Sm. ssp. polysepala (Engelm.) E.O. Beal	rocky mountain pond-lily, yellow water lily (Eng.); nénuphar à sépales nombreux (Fr.); oga'da mûn (Ojibwa); egh'ke (Dene)	Roots: Grated to make a poultice for sores, or dried, powdered and used to heal cuts and swellings [Ojibwa: 87].
Syn.: N. polysepala (Engelm.) Greene, N. advena Aiton		Stems: Tea drunk to cure sore stomach, shortness of breath, heart problems and urinary tract problems [Dene: 101].
Nymphaeaceae, Herb		
Nuphar sp.	nénuphar (Fr.); mska'tawé (Abenaki)	Used to allay sexual irritability and in spermatorrhea [Abenaki: 67]. 
Nymphaeaceae, Herb		
Nymphaea odorata Aiton	American white water lily, sweet scented water lily (Eng.); nymphéa odorant, nénuphar blanc, lis d'eau (Fr.); odîte'abûg wa'bîgwûn (Ojibwa)	Plant pounded into a pulp and used as a poultice to heal swollen limbs [Mi'kmaq: 62]. Leaves: Paste used for swellings [Mi'kmaq: 60; Algonquians: 63]. 
Syn.: Castalia odorata (Aiton) Alph. Wood		Roots: Juice drunk in coughs. Boiled and used as a poultice for swellings [Algonquians: 63]. Used as a cough medicine or to treat tuberculosis [Ojibwa: 87]. Powdered root put in the mouth to treat sore mouth [Ojibwa: 47].
Nymphaeaceae, Herb		Rhizomes: Decoction used for leucorrhoea. Poultice used for suppurating glands [44]. 
Oclemena nemoralis (Aiton) Greene	bog aster (Eng.); aster des bois (Fr.); winĭsĭkĕns (Ojibwa)	Roots: Decoction drops used in ears to treat soreness [Ojibwa: 47].
Syn.: Aster nemoralis Aiton		
Asteraceae, Herb		
Oenothera biennis L.	mink plant (Eng.); onagre (Fr.)	Whole plant: Soaked in warm water to make a poultice to heal bruises [Ojibwa: 87].
Onagraceae, Herb		Bark: Strong infusion drunk in small doses for pain in the bowels [Montagnais: 70]. 
Oligoneuron rigidum (L.) Small var. rigidum	goldenrod (Eng.)	Used as an astringent and styptic [Chippewa: 47].
Syn: Solidago rigida L.		Roots: Decoction used to treat stoppage of urine [Chippewa: 47].
Asteraceae, Herb		
Onoclea sensibilis L.	sensitive fern (Eng.); onoclée sensible (Fr.); a'nana'ganûck (Ojibwa)	Roots: Powdered and used to make a tea given to stimulate milk flow [Ojibwa: 87]. 
Dryopteridaceae, Herb		
Oplopanax horridus (Sm.) Miq.	devil's club (Eng.); bois piquant (Fr.)	Used for colds and tuberculosis [Dene: 17].
Syn.: Echinopanax horridus (Sm.) Decne. & Planch. ex Harms		Roots: Mixed with other plants in a decoction used as a diuretic, to treat diabetes, or to prevent birth [Cree, Metis: 13]. Boiled and taken as a general medicine. Used to wash sores [Dene: 17].
Araliaceae, Shrub		
Orthilia secunda (L.) House Syn.: Pyrola secunda L.	one-sided wintergreen (Eng.); pyrole unilatérale (Fr.); sasdzaghé (Chipewyan)	Leaves: Mashed with lard and put on a cut to stop bleeding and help healing. Chewed to relieve toothache [Chipewyan: 92]. 
Pyrolaceae, Herb		
Osmorhiza claytonii (Michx.) C.B. Clarke	hairy sweet cicely (Eng.); osmorhize de Clayton (Fr.); osaga'tigom' (Ojibwa)	Roots: Dried, pounded and moistened in warm water and applied to skin ulcers. Dried and chewed or a decoction used to gargle to treat sore throat [Ojibwa: 47].
Apiaceae, Herb		
Osmorhiza longistylis (Torr.) DC. 	long-styled sweet cicely (Eng.); osmorhize à long style (Fr.); segedebwens, osaga'tîkûm (Ojibwa)	Roots: Infusion taken for amenorrhea. Decoction used to wash nostrils of a hunting dog whit dulled sense of scent. [Ojibwa: 85]. Tea drunk for sore throat or to facilitate parturition [Ojibwa: 87].
Apiaceae, Herb		
Ostrya virginiana (Mill.) K. Koch	hophornbeam (Eng.); ostryer de virginie, bois de fer (Fr.); ma'nanons' (Ojibwa)	Wood: Decoction used for rheumatic pain or tuberculosis [Ojibwa: 91]. Decoction boiled with Thuja occidentalis and used as a cough syrup [Ojibwa: 47, 91]. Wood from the heart of branches boiled and decoction taken in kidney troubles. Mixed with Lycopodium obscurum and twigs of Picea glauca in a decoction used for steaming stiff joints in rheumatism [Ojibwa: 47]. 
Betulaceae, Tree		
Oxalis montana Raf.	wood sorrel (Eng.); oxalide de montagne (Fr.)	Aphrodisiac [55]. 
Oxalidaceae, Herb		
Packera aurea (L.) A. Löve & D. Löve	golden ragwort, golden senecio (Eng.); séneçon doré (Fr.)	Used as a remedy for hemorrhages, bruises and in case of abortion [66].
Syn.: Senecio aureus L.		
Asteraceae, Herb		
Panax quinquefolius L.	ginseng (Eng., Fr.); ginseng à cinq folioles (Fr.); 	Roots: Steeped and taken time to time to increase fertility in women [Algonquians: 63]. 
Araliaceae, Herb		
Panax trifolius L.	dwarf ginseng (Eng.); ginseng à trois folioles, petit ginseng (Fr.); nesō'wakŏk (Ojibwa)	Roots: Chewed and applied to cuts [Ojibwa: 84].
Syn.: Aralia trifolia Gray		
Araliaceae, Herb		
Parmelia sulcata Taylor.	shield lichen (Eng.)	Rubbed on the gums of teething babies to relieve discomfort [Metis: 13]. 
Parmeliaceae, Lichen		
*Pastinaca sativa L.	wild parsnip (Eng.); panais (Fr.); pigwe'wûnûsk (Ojibwa)	Very small quantity mixed with four other kinds of roots to make a tea for "female troubles" [Ojibwa: 87].
Apiaceae, Herb		
Pedicularis canadensis L.	wood beteny, Canada pedicularis (Eng.); pédiculaire du Canada (Fr.); mandamî'nîodji'bîkîns (Ojibwa)	Roots: Finely cut and used as an aphrodisiac [Ojibwa: 87]. Used as a remedy for anemia [Chippewa: 85]. 
Scrophulariaceae, Herb		
Pedicularis lanata Cham. & Schltdl.	woolly lousewort (Eng.); pédiculaire laineuse (Fr.)	Roots: Mixed with tobacco and smoked to relieve headache [Dene: 98]. 
Scrophulariaceae, Herb		
Penstemon confertus Douglas ex Lindl.	lesser yellow beardtongue (Eng.); penstémon à fleurs jaunes (Fr.)	Used as a cough medicine [Chippewa: 47].
Scrophulariaceae, Herb		Roots: Decoction drunk as a purgative [Chippewa: 47].
		Outer bark: Decoction used as a remedy for stomach troubles [Chippewa: 47].
Petasites frigidus (L.) Fr. var. palmatus (Aiton) Cronquist Syn. : P. palmatus (Aiton) A. Gray	palmate coltsfoot (Eng.); pétasite palmé (Fr.)	Steam taken to treat asthma, congested chest or cold [Dene: 100]. 
Asteraceae, Herb		
Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky	arrow-leaved coltsfoot (Eng.); pétasite sagitté (Fr.); piskehte puskwa, nigutinepia, mōsōtawakayipak, yuwskiy(h)tiypuk (Cree)	Cooked with Pyrola asarifolia and the mixture used as a wash to treat chickenpox [Dene: 17]. Steam taken to treat asthma, congested chest or cold [Dene: 100]. 
Syn.: P. sagittatus (Banks ex Pursh) A. Gray		Leaves: Used as a poultice on skin sores and burns [Metis: 13]. Applied to worms eating the flesh and to itchy skin [Cree: 95]. Put all over the body to treat chickenpox. Poultice wrapped to treat sore knee [Dene: 17]. Wraped on affected area to heal sores and draw out infections [Cree: 93].
Asteraceae, Herb		Leaves and roots: Boiled together and put on measles for healing, decoction drunk "to make babies" [Dene: 17]. 
Phryma leptostachya L.	lopseed (Eng.); phryma à épis grêles (Fr.); waia'bishkĕno'kŏk (Ojibwa)	Roots: Decoction taken for rheumatic pain in the legs [Ojibwa: 84]. Chewed dry or a decoction used as a gargle to treat sore throat [Ojibwa: 47].
Verbenaceae, Herb		
Physocarpus opulifolius (L.) Maxim.	ninebark (Eng.); physocarpus à feuilles d'obier, bois à sept écorces (Fr.); miskwazi-wušk (Ojibwa)	Roots: Infusion used as an emetic [Chippewa: 85]. 
Rosaceae, Shrub		
Phytolacca americana L. 	American pokeweed, pigeon berry (Eng.); phytolaque d'Amérique (Fr.)	Leaves: Chewed and applied to wounds to stop bleeding [Mi'kmaq: 43]. 
Phytolaccaceae, Herb		
Phytolacca americana L. var. americana Syn.: P. decandra L.	common pokeweed, poke berry (Eng.); phytolaque d'Amérique (Fr.)	Roots: Used as an emetic and in rheumatism [44].
Phytolaccaceae, Herb		
Picea glauca (Moench) Voss	white spruce (Eng.); épinette blanche (Fr.); wapiskimnahik, eyinatik, minuhik, mīnahik, sī(h)ta (Cree); me-naig, gawa'ndag (Chippewa); mzazesso, mskask (Abenaki); minaiku (Montagnais); ts'iivii, ts'iwa (Dene); ts'uchogh (Chipewyan)	Twigs: Tea used as a general medicine [Algonquians: 63]. Steeped to make an antiscorbutic tea [Mi'kmaq: 60]. Tips of branches used to brew a tea to "heal the inside". Tea used in sudatory by women after childbirth [Algonquin: 69]. Boiled and the vapour taken to fight fever and eye problems [Montagnais: 71], to relieve cold [Dene: 99] or to ease headache [Dene: 101]. Tea used for fever [Montagnais: 71]. Mixed with Lycopodium obscurum and inner part of Ostrya virginiana wood in a decoction used for steaming stiff joints in rheumatism [Ojibwa: 47]. Young twigs chewed to relieve itchy throat [Dene: 99]. Used to treat diabetes [Cree: 82]. Juice from young tree boughs used for sore eyes. Towels soaked in tea and wrapped around a woman's waist to speed up delivery, to ease afterbirth pain, and to loosen retained placenta [Dene: 101]. Herbal water taken for colds [Cree: 93].
Syn.: P. canadensis (Mill.) BSP.		Inner bark: Used as a poultice or boiled to make a wash for decayed teeth, skin sores, and burns [Dene: 17; Chipewyan: 92]. Chewed or drunk as a tea for cough [Algonquin: 69; Montagnais: 71]. Decoction used in a compound arthritis remedy [Cree: 95]. Used in diabetes [Cree: 83]. Chewed to relieve cold or maintain good health, or placed on a wound [Dene: 99]. Used to stop bleeding from cuts [Cree: 81]. Used to treat diabetes [Cree: 82]. Mixed with caribou grease to make a salve for burns [Chipewyan: 92].
Pinaceae, Tree		Bark: Tea used as a salve [Mi'kmaq: 43]. Steeped and given in tuberculosis [Mi'kmaq: 62]. Used as a splint and to heal broken limbs [Dene: 100].
		Sap: Used to soothe irritated skin, applied to cuts and mouth infections [Dene: 17, 99]. Applied to chest to prevent cold and tuberculosis. Tea taken to soothe sore throat [Dene: 99]. Applied to stop bleeding from cuts [Dene: 13; 99; Cree: 81]. Boiled and taken in cough. Heated and pressed on blisters [Cree: 80]. Herbal water taken for colds. Heated, mixed with lard, cooled and applied to wound infections [Cree: 93].
		Bark and branches: Mixed with red willow bark to treat cold [Dene: 17].
		Gum: Used alone or most commonly mixed with rendered fat from a bear, otter, or beaver, or lard or petroleum jelly, and applied as a salve for skin infections, cuts, rashes, burns, persistent sores, and chapped or craked skin [Cree, Dene, Metis: 13; Algonquin: 69]. Chewed and the juice swallowed to treat a sore throat [Metis: 13]. Mixed with grease to make an ointment to treat skin rashes, scabies, persistent scabs and a growing boil [Cree: 95]. Chewed as a laxative [Algonquin: 69]. Applied to throat against cough or on back for pain relief [Montagnais: 71]. Used to treat diabetes related symptoms [Cree: 82]. Applied in cuts and skin infections [Cree: 80, 81]. Used to treat gum disease, cuts, skin rashes, tea drunk for stomach ailments [Dene: 100]. Smeared on painful areas of the body, boiled and gargled to cure toothaches, used as an ointment for sores and placed on a wound to stop bleeding, boiled and tea drunk for colds and coughing [Dene: 101]. Warm and applied to cuts, boils or sores [Cree: 79]. Poultice used to treat skin disorders, bee stings, cuts and burns [Cree: 96]. Warmed up and put in infections [Dene: 13]. Used to treat sore throat [Dene: 100].
		Rotten wood: Powdered and used as baby powder or to treat skin rashes [Cree: 94, 95]. 
		Cones: Used to make a medicine for excessive urination [Abenaki: 67]. Used to make a jelly to treat headache and stomachache [Algonquin: 75]. Boiled and water used to wash itchy skin, or drunk against intestinal problems [Montagnais: 71]. Used to treat diabetes related symptoms [Cree: 82].
		Leaves: Used as an inhalant or fumigator [Ojibwa: 87]. Used to treat diabetes related symptoms [Cree: 82]. Powder used as a compress for aches and pains [Cree: 80, 81]. Cushed, placed on cloth and put in throat to treat pain and burns [Cree: 80].
		Roots and bark: Tea used for stomach pain, fainting and fits [Ojibwa: 86]. 
		Gum and bark: Used for cough [Montagnais: 71]. 
		Cones and branches: Tea used for cough and colds, sore throat and chest pain [Dene: 99].
		Roots: Pounded and boiled to make a liquid medicine [Dene: 99]. 
		Young tips, cones and branches: Boiled and taken to treat itchy throat [Dene: 99]. Steam used to treat congested head and chest [Dene: 100].
		Wood: Inside strips put on burns, boiled without bark and taken for sore throat [Cree: 79].
Picea mariana (Mill.) BSP.	black spruce (Eng.); épinette noire (Fr.); ithināhtik, minahik, setakwunatik, pekewatik, mīthawapakōnuk, mistikōpikī (Cree); kaawaataak (Ojibway); Say-say-gah-dag , jingwûp (Chippewa); a'mikwan'dŏk (Ojibwa); ushkâtuku (Montagnais); ts'iivii, ędzò (Dene); el (Chipewyan)	Used for a sudatory after childbirth [Algonquin: 69]. 
Pinaceae, Tree		Twigs: Boiled to make a broth for cough [Algonquin: 63] or to produce steam that relieves cold [Dene: 99]. Tips or buds peeled and eaten to prevent breathing shortness, heart problems, and high blood pressure [Cree: 13]. Decoction used to treat sore eyes [Dene: 101; Dene, Metis: 13]. Tips used to make a tea for "healing the inside" [Algonquin: 69]. Tea used against fever [Montagnais: 71]. Yound twigs chewed to relieve itchy throat [Dene: 99]. Used to treat diabetes [Cree: 82]. Boiled and steamed to cure congestion or cold and to ease headache. Towels soaked in tea and wrapped around a woman's waist to speed up delivery, to ease afterbirth pain, and to loosen retained placenta [Dene: 101].
		Gum: Applied as a salve for skin infections, cuts, boils, rashes, burns, sores, and chapped or craked skin [Dene: 13, 100; Cree: 13, 79, 80; Algonquin: 69]. Mixed with grease to make an ointment to treat skin rashes, scabies, persistent scabs and bad burns [Cree: 95]. Chewed to prevent breathing shortness, also good for the heart [Cree: 13]. Soaked in hot water and used to treat infected cuts and wounds [Cree: 13]. Chewed and applied to a sore ear or to treat stomach ache [Cree: 13]. Boiled until it turns pink and then cooled to make an ointment to draw the infection out of cysts [Cree: 13] or to treat infected wounds, rashes, scabs on the head or chiken pox [Cree: 13]. Used as a laxative [Algonquin: 69]. Used for cuts and back pain [Montagnais: 71]. Used to treat diabetes [Cree: 82]. Used to treat gum disease, tea drunk for stomach ailments [Dene: 100]. Smeared on painful areas of the body, boiled and gargled to cure toothache, used as an ointment for sores and placed on a wound to stop bleeding. Boiled and tea drunk for cough and cold [Dene: 101]. Used to treat sore throat [Dene: 100].
